signal_date,execution_date,universe_size,listed_since_prior,delisted_since_prior,price_coverage,fundamental_coverage,minimum_internal_benchmark_coverage,delisting_liquidations
2023-01-31,2023-02-01,462,462,0,1.0,1.0,0.0,0
2023-02-28,2023-03-01,462,1,1,1.0,1.0,0.0,0
2023-03-31,2023-04-03,464,2,0,1.0,1.0,0.0,0
2023-04-28,2023-05-01,464,0,0,1.0,1.0,0.0,0
2023-05-31,2023-06-01,465,1,0,1.0,1.0,0.0,0
2023-06-30,2023-07-03,466,1,0,1.0,1.0,0.0,0
2023-07-31,2023-08-01,466,0,0,1.0,1.0,0.0,0
2023-08-31,2023-09-01,465,0,1,1.0,1.0,0.0,0
2023-09-29,2023-10-02,465,0,0,1.0,1.0,0.0,0
2023-10-31,2023-11-01,464,3,4,1.0,1.0,0.0,0
2023-11-30,2023-12-01,464,0,0,1.0,1.0,0.0,0
2023-12-29,2024-01-02,465,1,0,1.0,1.0,0.0,0
2024-01-31,2024-02-01,466,3,2,1.0,1.0,0.0,0
2024-02-29,2024-03-01,466,1,1,1.0,1.0,0.0,0
2024-03-28,2024-04-01,467,1,0,1.0,1.0,0.0,0
2024-04-30,2024-05-01,465,2,4,1.0,1.0,0.0,0
2024-05-31,2024-06-03,467,2,0,1.0,1.0,0.0,0
2024-06-28,2024-07-01,467,0,0,1.0,1.0,0.0,0
2024-07-31,2024-08-01,468,3,2,1.0,1.0,0.0,0
2024-08-30,2024-09-03,469,1,0,1.0,1.0,0.0,0
2024-09-30,2024-10-01,468,2,3,1.0,1.0,0.0,0
2024-10-31,2024-11-01,467,1,2,1.0,1.0,0.0,0
2024-11-29,2024-12-02,468,1,0,1.0,1.0,0.0,0
2024-12-31,2025-01-02,471,4,1,1.0,1.0,0.0,0
2025-01-31,2025-02-03,471,0,0,1.0,1.0,0.0,0
2025-02-28,2025-03-03,472,1,0,1.0,1.0,0.0,0
2025-03-31,2025-04-01,472,4,4,1.0,1.0,0.0,0
2025-04-30,2025-05-01,472,0,0,1.0,1.0,0.0,0
2025-05-30,2025-06-02,472,0,0,1.0,1.0,0.0,0
2025-06-30,2025-07-01,473,1,0,1.0,1.0,0.0,0
2025-07-31,2025-08-01,473,0,0,1.0,1.0,0.0,0
2025-08-29,2025-09-02,473,0,0,1.0,1.0,0.0,0
2025-09-30,2025-10-01,473,3,3,1.0,1.0,0.0,0
2025-10-31,2025-11-03,473,1,1,1.0,1.0,0.0,0
2025-11-28,2025-12-01,474,1,0,1.0,1.0,0.0,0
2025-12-31,2026-01-02,474,3,3,1.0,1.0,0.0,0
2026-01-30,2026-02-02,474,0,0,1.0,1.0,0.0,0
2026-02-27,2026-03-02,475,1,0,1.0,1.0,0.0,0
2026-03-31,2026-04-01,476,5,4,1.0,1.0,0.0,0
2026-04-30,2026-05-01,477,1,0,1.0,1.0,0.0,0
2026-05-29,2026-06-01,477,0,0,1.0,1.0,0.0,0
