factor_name,ic,rank_ic,ic_ir,t_stat,coverage,missing_rate,quantile_monotonicity,top_quantile_turnover
accruals,0.0004102478456299069,-0.001967757154133342,-0.028722814228356965,-0.319843722921666,0.9593725065960979,0.03143176939026404,0.0,0.25343551419291027
beta_to_spy,-0.028531883090393995,-0.020690335466580008,-0.0994759698119844,-1.1077175193542435,0.992,0.0,-0.8999999999999998,0.08515175320788466
book_to_market,0.010185337226624683,0.0035678929543395484,0.032164165224249155,0.35816498579150235,0.9831288826081953,0.008477219765500284,0.3,0.060951099049117066
earnings_yield,0.015388811820037415,0.022146795641934808,0.29348482657585145,3.26810871688075,0.9744336276332127,0.01702783537312611,0.8999999999999998,0.24283464900630244
free_cash_flow_yield,0.011254618876269364,0.009470086908318652,0.12441951298127582,1.3854770608356297,0.9766856618291905,0.01462412154351456,0.3,0.19773827311409525
max_drawdown_252d,0.014198139524198447,0.00797863144318978,0.04300660835995059,0.4789013227854413,0.992,0.0,0.7,0.12651011778885154
momentum_12_1,-0.004164887677697186,-0.0069009735654040165,-0.041244414260339236,-0.45927835976903025,0.9916653381315979,0.00033028128956494616,-0.39999999999999997,0.22768697017010012
momentum_3m,0.0004418099183339376,-6.963219633990443e-05,-0.0004630716069665251,-0.0051565471814132985,0.992,0.0,0.3,0.4434847882160434
momentum_6m,0.00548912069022313,0.0022570964468037686,0.013797218319300388,0.15363932092877247,0.992,0.0,0.3,0.3145009032440437
realized_vol_252d,-0.017747026280262715,-0.007338992488166682,-0.039622351817319615,-0.44121583683997095,0.992,0.0,-0.7,0.08642153105087123
realized_vol_60d,-0.0167796366324353,-0.0039522691493141145,-0.022645358798780154,-0.25216804340669485,0.992,0.0,-0.39999999999999997,0.25295577026971583
risk_disclosure_score,,,,,0.992,0.0,,0.0020245337620732337
roe,-0.0006884862408528145,0.004932643321217951,0.07033607101011831,0.7832293391832369,0.9688328356610315,0.02234903392722802,-0.39999999999999997,0.21131220920608995
sales_yield,0.014041290028249097,0.01939201128387052,0.18387052755003805,2.0474955413357154,0.8742027515503834,0.10963503917503073,0.8999999999999998,0.13156075070629078
