check,passed,value,severity,detail
prices_nonempty,True,1835397,error,
fundamentals_nonempty,True,726711,error,
membership_nonempty,True,63158,error,
macro_nonempty,True,20785,error,
sector_mapping_coverage,True,0.974910394265233,error,
monthly_membership_history,True,1.0,error,40/40 months; missing none
synthetic_rows_zero,True,0,error,
fundamental_available_dates,True,0,error,
primary_benchmark_present,True,^GSPC,error,
primary_benchmark_complete,True,0,error,
secondary_benchmark_present,True,SPY,error,
secondary_benchmark_complete,True,0,error,
sp500_source_audit,True,sp500_wikipedia,error,
credential_sec_user_agent,True,True,error,
