factor_name,ic,rank_ic,ic_ir,t_stat,p_value,coverage,missing_rate,fdr_q_value,fdr_significant,quantile_monotonicity,top_quantile_turnover,preregistered_direction,direction_matches,evidence_status
accruals,-0.0017307691000194,-0.010000149563482,-0.1855060103958352,-0.8807735630397213,0.3784403914828339,0.9877698741903796,0.0122059083672386,0.530008036611472,False,-0.3999999999999999,0.2515845816398139,-1,False,unsupported
beta_to_spy,-0.0547454633201229,-0.0396167035123491,-0.1798279948820909,-0.6915210011440939,0.4892381876413587,1.0,0.0,0.530008036611472,False,-0.8999999999999998,0.0782316568479478,-1,False,unsupported
book_to_market,0.0306453229655368,0.029492332000536,0.2738796578198864,1.033460075618325,0.3013886449530085,0.9978771543628894,0.0021227666725632,0.530008036611472,False,1.0,0.0612258242514765,1,True,unsupported
earnings_yield,0.023169768932818,0.0273384078438425,0.485010783703778,2.1558997759292877,0.0310914919818956,0.9924691710662478,0.0075181319653281,0.2020946978823215,False,0.8999999999999998,0.2697421166236591,1,True,unsupported
free_cash_flow_yield,0.0160729501788489,0.0062355751489983,0.1227728684291703,0.7506883298376898,0.4528402480171803,0.9953007031241315,0.0046877764019104,0.530008036611472,False,0.3,0.2000737123761927,1,True,unsupported
max_drawdown_252d,0.0421977124468106,0.0379083243801336,0.2323437313087012,0.9124074934258822,0.3615542463287881,1.0,0.0,0.530008036611472,False,0.8999999999999998,0.1131798042747942,-1,True,unsupported
momentum_12_1,0.0216858300869941,0.0040326627403726,0.0285113947606651,0.1687639681813307,0.8659823009646082,0.9996457569131988,0.0003537944454272,0.8659823009646082,False,0.0999999999999999,0.218564681824821,1,True,unsupported
momentum_3m,0.0384506293758231,0.0331400236803755,0.2738331737881203,1.5406930485401806,0.1233915094580685,1.0,0.0,0.4010224057387226,False,1.0,0.4291396854764108,1,True,unsupported
momentum_6m,0.032206445208781,0.0200078899604501,0.1319971839826652,0.7061289365309695,0.4801079581492561,1.0,0.0,0.530008036611472,False,0.7,0.2926335264618531,1,True,unsupported
realized_vol_252d,-0.0537996959225708,-0.0402561594822953,-0.2254266071081241,-0.8499606740950433,0.3953469506252303,1.0,0.0,0.530008036611472,False,-0.8999999999999998,0.0805345927260333,-1,False,unsupported
realized_vol_60d,-0.0590522693876208,-0.0415810246505993,-0.2481719351485254,-0.9634052603780826,0.335344187475837,1.0,0.0,0.530008036611472,False,-0.7,0.2561711865231998,-1,False,unsupported
roe,-0.0033819084749049,-0.0158853676808681,-0.3291634800239507,-1.6973746185659455,0.089625858009442,0.9924691710662478,0.0075181319653281,0.3883787180409153,False,-0.7,0.2041309295141108,1,False,unsupported
sales_yield,0.0221963141197788,0.0441784561718252,0.5710468634039533,2.786813124864073,0.0053229165113017,0.9690376694442288,0.0309570139748805,0.0691979146469224,False,0.8999999999999998,0.1434859782167545,1,True,unsupported
