factor_name,ic,rank_ic,ic_ir,t_stat,p_value,coverage,missing_rate,fdr_q_value,fdr_significant,quantile_monotonicity,top_quantile_turnover
accruals,-0.0017307691000194951,-0.010000149563482085,-0.1855060103958352,-0.8807735630397213,0.3784403914828339,0.9877698741903796,0.012205908367238635,0.530008036611472,False,-0.39999999999999997,0.25158458163981395
beta_to_spy,-0.05474546332012296,-0.03961670351234916,-0.17982799488209097,-0.6915210011440939,0.48923818764135873,1.0,0.0,0.530008036611472,False,-0.8999999999999998,0.07823165684794783
book_to_market,0.030645322965536858,0.029492332000536085,0.27387965781988644,1.033460075618325,0.30138864495300854,0.9978771543628894,0.0021227666725632407,0.530008036611472,False,0.9999999999999999,0.0612258242514765
earnings_yield,0.023169768932818025,0.027338407843842564,0.48501078370377804,2.1558997759292873,0.03109149198189562,0.9924691710662478,0.007518131965328145,0.20209469788232154,False,0.8999999999999998,0.2697421166236591
free_cash_flow_yield,0.01607295017884894,0.006235575148998307,0.1227728684291703,0.7506883298376898,0.45284024801718037,0.9953007031241317,0.00468777640191049,0.530008036611472,False,0.3,0.20007371237619279
max_drawdown_252d,0.04219771244681067,0.03790832438013362,0.23234373130870126,0.9124074934258822,0.3615542463287881,1.0,0.0,0.530008036611472,False,0.8999999999999998,0.11317980427479428
momentum_12_1,0.021685830086994123,0.004032662740372685,0.02851139476066519,0.16876396818133077,0.8659823009646082,0.9996457569131988,0.0003537944454272068,0.8659823009646082,False,0.09999999999999999,0.21856468182482106
momentum_3m,0.03845062937582319,0.03314002368037557,0.27383317378812033,1.5406930485401806,0.12339150945806851,1.0,0.0,0.40102240573872266,False,0.9999999999999999,0.42913968547641085
momentum_6m,0.032206445208781055,0.02000788996045019,0.13199718398266524,0.7061289365309695,0.4801079581492561,1.0,0.0,0.530008036611472,False,0.7,0.2926335264618531
realized_vol_252d,-0.05379969592257081,-0.04025615948229536,-0.2254266071081241,-0.8499606740950433,0.3953469506252303,1.0,0.0,0.530008036611472,False,-0.8999999999999998,0.08053459272603339
realized_vol_60d,-0.059052269387620836,-0.04158102465059932,-0.24817193514852542,-0.9634052603780826,0.33534418747583705,1.0,0.0,0.530008036611472,False,-0.7,0.2561711865231998
roe,-0.003381908474904919,-0.01588536768086812,-0.3291634800239507,-1.6973746185659457,0.089625858009442,0.9924691710662478,0.007518131965328145,0.38837871804091534,False,-0.7,0.20413092951411085
sales_yield,0.022196314119778876,0.044178456171825274,0.5710468634039533,2.786813124864073,0.005322916511301726,0.9690376694442288,0.030957013974880595,0.06919791464692245,False,0.8999999999999998,0.1434859782167545
